n,1_over_n,log2_n,12sqrt_n,n_pow_0_51,50sqrt_n,2pow32_n,nlog2n,100n2_plus_6n,n2_minus_324,2n3,n_log2_n,3_pow_n
125,0.008000,6.965784,134.164079,11.733406,559.016994,536870912000,870.723036,1563250.000000,15301.000000,3906250.000000,404224669814607.187500,436673502879206746811057139450516757414498529978705564925952.000000
126,0.007937,6.977280,134.699666,11.781185,561.248608,541165879296,879.137270,1588356.000000,15552.000000,4000752.000000,451724074069497.937500,1310020508637620418839133006596535404529241771123008742621184.000000
127,0.007874,6.988685,135.233132,11.828778,563.471383,545460846592,887.562955,1613662.000000,15805.000000,4096766.000000,504453162008289.375000,3930061525912860721299514255054650816730486769808350084333568.000000
128,0.007812,7.000000,135.764502,11.876189,565.685425,549755813888,896.000000,1639168.000000,16060.000000,4194304.000000,562949953421312.000000,11790184577738582877522389118143892979334445034172618444374016.000000
129,0.007752,7.011227,136.293800,11.923418,567.890835,554050781184,904.448316,1664874.000000,16317.000000,4293378.000000,627804033859096.625000,35370553733215750059814860060391559996289304552012991715868672.000000
130,0.007692,7.022368,136.821051,11.970467,570.087713,558345748480,912.907816,1690780.000000,16576.000000,4394000.000000,699661143943344.125000,106111661199647244470453809357335155755724035858058429616619520.000000
131,0.007634,7.033423,137.346278,12.017340,572.276157,562640715776,921.378413,1716886.000000,16837.000000,4496182.000000,779228146599257.125000,318334983598941756247324511367363564199747618766097470973804544.000000
132,0.007576,7.044394,137.869504,12.064038,574.456265,566935683072,929.860024,1743192.000000,17100.000000,4599936.000000,867278400891527.000000,955004950796825314413899700692806886464393878682136777169305600.000000
133,0.007519,7.055282,138.390751,12.110563,576.628130,571230650368,938.352564,1769698.000000,17365.000000,4705274.000000,964657573143781.625000,2865014852390475760553994435715555883932577546511032874516348928.000000
134,0.007463,7.066089,138.910043,12.156917,578.791845,575525617664,946.855952,1796404.000000,17632.000000,4812208.000000,1072289918145909.375000,8595044557171426916286573974420938100876524460462343709565911040.000000
135,0.007407,7.076816,139.427400,12.203101,580.947502,579820584960,955.370106,1823310.000000,17901.000000,4920750.000000,1191185065512708.500000,25785133671514282210361359254165732506314406097670050784630276096.000000
136,0.007353,7.087463,139.942845,12.249119,583.095189,584115552256,963.894946,1850416.000000,18172.000000,5030912.000000,1322445348658304.250000,77355401014542849554087352424303033926312883725576191665755914240.000000
137,0.007299,7.098032,140.456399,12.294970,585.234996,588410519552,972.430395,1877722.000000,18445.000000,5142706.000000,1467273716402318.500000,232066203043628513586222761331239064890502665985936103254886711296.000000
138,0.007246,7.108524,140.968081,12.340658,587.367006,592705486848,980.976375,1905228.000000,18720.000000,5256144.000000,1626982269933684.250000,696198609130885587526720678582610577189422644878864938754501509120.000000
139,0.007194,7.118941,141.477913,12.386185,589.491306,597000454144,989.532809,1932934.000000,18997.000000,5371238.000000,1803001470736055.750000,2088595827392656856116266824925618496604097228478708074243187277824.000000
140,0.007143,7.129283,141.985915,12.431550,591.607978,601295421440,998.099622,1960840.000000,19276.000000,5488000.000000,1996890068133826.750000,6265787482177970568348800474776855489812291685436124222729561833472.000000
141,0.007092,7.139551,142.492105,12.476758,593.717104,605590388736,1006.676741,1988946.000000,19557.000000,5606442.000000,2210345798359969.750000,18797362446533911705046401424330566469436875056308372668188685500416.000000
142,0.007042,7.149747,142.996503,12.521808,595.818764,609885356032,1015.264091,2017252.000000,19840.000000,5726576.000000,2445216910486710.500000,56392087339601738108294557526680875889457162571872742259915904516096.000000
143,0.006993,7.159871,143.499129,12.566704,597.913037,614180323328,1023.861601,2045758.000000,20125.000000,5848414.000000,2703514578208447.000000,169176262018805190379640846550529215819199188492037232736948929429504.000000
144,0.006944,7.169925,144.000000,12.611446,600.000000,618475290624,1032.469200,2074464.000000,20412.000000,5971968.000000,2987426260334528.500000,507528786056415642974651017740127883005114463146854680339243140644864.000000
145,0.006897,7.179909,144.499135,12.656035,602.079729,622770257920,1041.086818,2103370.000000,20701.000000,6097250.000000,3299330076949873.000000,1522586358169246737362010444984276354221964995651916088675339148984320.000000
146,0.006849,7.189825,144.996552,12.700475,604.152299,627065225216,1049.714386,2132476.000000,20992.000000,6224272.000000,3641810272546757.000000,4567759074507740595209916551425043652252651774533044170710797992853504.000000
147,0.006803,7.199672,145.492268,12.744765,606.217783,631360192512,1058.351835,2161782.000000,21285.000000,6353046.000000,4017673842034041.500000,13703277223523221019381979221330701777584441748444540702762832886759424.000000
148,0.006757,7.209453,145.986301,12.788908,608.276253,635655159808,1066.999098,2191288.000000,21580.000000,6483584.000000,4429968400405580.500000,41109831670569664590641478529880963691100352395642805727027620843880448.000000
149,0.006711,7.219169,146.478667,12.832906,610.327781,639950127104,1075.656110,2220994.000000,21877.000000,6615898.000000,4882001382011029.000000,123329495011708987641942272126087457639912948585691682706126373797232640.000000
150,0.006667,7.228819,146.969385,12.876758,612.372436,644245094400,1084.322804,2250900.000000,22176.000000,6750000.000000,5377360660836756.000000,369988485035126987445755470232484106653291280162021986018205076329332736.000000
151,0.006623,7.238405,147.458469,12.920468,614.410286,648540061696,1092.999116,2281006.000000,22477.000000,6885902.000000,5919936688985596.000000,1109965455105380913297409102989008852492768971676172082254963319112728576.000000
152,0.006579,7.247928,147.945936,12.964036,616.441400,652835028992,1101.684982,2311312.000000,22780.000000,7023616.000000,6513946256662005.000000,3329896365316142936051656539800800427346726390268091749963497596839264256.000000
153,0.006536,7.257388,148.431803,13.007464,618.465844,657129996288,1110.380340,2341818.000000,23085.000000,7163154.000000,7163957983438056.000000,9989689095948427631198394234399758062829662319366822230698846953511321600.000000
154,0.006494,7.266787,148.916084,13.050753,620.483682,661424963584,1119.085127,2372524.000000,23392.000000,7304528.000000,7874919657416516.000000,29969067287845282893595182703199274188488986958100466692096540860533964800.000000
155,0.006452,7.276124,149.398795,13.093904,622.494980,665719930880,1127.799283,2403430.000000,23701.000000,7447750.000000,8652187546139101.000000,89907201863535848680785548109597822565466960874301400076289622581601894400.000000
156,0.006410,7.285402,149.879952,13.136920,624.499800,670014898176,1136.522746,2434536.000000,24012.000000,7592832.000000,9501557810728800.000000,269721605590607583704967056648878050711137421868902696843001534529012760576.000000
157,0.006369,7.294621,150.359569,13.179800,626.498204,674309865472,1145.255458,2465842.000000,24325.000000,7739786.000000,10429300162831284.000000,809164816771822650681273403759741930760781494284045432891317492162486075392.000000
158,0.006329,7.303781,150.837661,13.222547,628.490254,678604832768,1153.997358,2497348.000000,24640.000000,7888624.000000,11442193912447940.000000,2427494450315468152911075743653010235027606025497461613949326699336562638848.000000
159,0.006289,7.312883,151.314243,13.265161,630.476011,682899800064,1162.748390,2529054.000000,24957.000000,8039358.000000,12547566563759876.000000,7282483350946404860467738295706599590573341161783035472398728543707896741888.000000
160,0.006250,7.321928,151.789328,13.307645,632.455532,687194767360,1171.508495,2560960.000000,25276.000000,8192000.000000,13753335125551782.000000,21847450052839211367527126369139247687795838803023901372790198065538019622912.000000
161,0.006211,7.330917,152.262930,13.349998,634.428877,691489734656,1180.277617,2593066.000000,25597.000000,8346562.000000,15068050312880454.000000,65542350158517643744209644661359396315160070456047319251588556893371070676992.000000
162,0.006173,7.339850,152.735065,13.392223,636.396103,695784701952,1189.055700,2625372.000000,25920.000000,8503056.000000,16500943827224176.000000,196627050475552918377124579912155984609783472638841137577141720417770529619968.000000
163,0.006135,7.348728,153.205744,13.434320,638.357267,700079669248,1197.842689,2657878.000000,26245.000000,8661494.000000,18061978913522552.000000,589881151426658780842382447880312362500743895375125053086673061777996953681920.000000
164,0.006098,7.357552,153.674982,13.476290,640.312424,704374636544,1206.638529,2690584.000000,26572.000000,8821888.000000,19761904404301964.000000,1769643454279976136839077678490181818131083866456562036418035981136507942469632.000000
165,0.006061,7.366322,154.142791,13.518136,642.261629,708669603840,1215.443165,2723490.000000,26901.000000,8984250.000000,21612312473508864.000000,5308930362839929027581442030922811262506695058376125477780057556001972583137280.000000
166,0.006024,7.375039,154.609185,13.559857,644.204936,712964571136,1224.256546,2756596.000000,27232.000000,9148592.000000,23625700335775312.000000,15926791088519784614487490110959370555066311339102618959236374217636122726498304.000000
